Date,WeekDay
2013-09-23,Monday
2013-09-24,Tuesday
2013-09-25,Wednesday
2013-09-26,Thursday
2013-09-27,Friday
2013-09-28,Saturday
2013-09-29,Sunday
2013-09-30,Monday
2013-10-01,Tuesday
2013-10-02,Wednesday
2013-10-03,Thursday
2013-10-04,Friday
2013-10-05,Saturday
2013-10-06,Sunday
2013-10-07,Monday
2013-10-08,Tuesday
2013-10-09,Wednesday
2013-10-10,Thursday
2013-10-11,Friday
2013-10-12,Saturday
2013-10-13,Sunday
2013-10-14,Monday
2013-10-15,Tuesday
2013-10-16,Wednesday
2013-10-17,Thursday
2013-10-18,Friday
2013-10-19,Saturday
2013-10-20,Sunday
2013-10-21,Monday
2013-10-22,Tuesday
2013-10-23,Wednesday
2013-10-24,Thursday
2013-10-25,Friday
2013-10-26,Saturday
2013-10-27,Sunday
2013-10-28,Monday
2013-10-29,Tuesday
2013-10-30,Wednesday
2013-10-31,Thursday
2013-11-01,Friday
2013-11-02,Saturday
2013-11-03,Sunday
2013-11-04,Monday
2013-11-05,Tuesday
2013-11-06,Wednesday
2013-11-07,Thursday
2013-11-08,Friday
2013-11-09,Saturday
2013-11-10,Sunday
2013-11-11,Monday
2013-11-12,Tuesday
2013-11-13,Wednesday
2013-11-14,Thursday
2013-11-15,Friday
2013-11-16,Saturday
2013-11-17,Sunday
2013-11-18,Monday
2013-11-19,Tuesday
2013-11-20,Wednesday
2013-11-21,Thursday
2013-11-22,Friday
2013-11-23,Saturday
2013-11-24,Sunday
2013-11-25,Monday
2013-11-26,Tuesday
2013-11-27,Wednesday
2013-11-28,Thursday
2013-11-29,Friday
2013-11-30,Saturday
2013-12-01,Sunday
2013-12-02,Monday
2013-12-03,Tuesday
2013-12-04,Wednesday
2013-12-05,Thursday
2013-12-06,Friday
2013-12-07,Saturday
2013-12-08,Sunday
2013-12-09,Monday
2013-12-10,Tuesday
2013-12-11,Wednesday
2013-12-12,Thursday
2013-12-13,Friday
2013-12-14,Saturday
2013-12-15,Sunday
2013-12-16,Monday
2013-12-17,Tuesday
2013-12-18,Wednesday
2013-12-19,Thursday
2013-12-20,Friday
2013-12-21,Saturday
2013-12-22,Sunday
2013-12-23,Monday
2013-12-24,Tuesday
2013-12-25,Wednesday
2013-12-26,Thursday
2013-12-27,Friday
2013-12-28,Saturday
2013-12-29,Sunday
2013-12-30,Monday
2013-12-31,Tuesday
